Year,Month,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2,LibIsland
1970,1,70261.2903225807,98162.3548387097,3418.83870967742,2115.38709677419,3821,11115.8064516129,20471.0322580645,188894.677419355,49.0645161290323,655.064516129032,411.870967741935,0,1116,1209.67741935484,6552.41935483871,0,-5342.74193548387,10173.2903225806,33001.1290322581,159746.35483871,193121.419354839,0.00709677419354839,-1.83870967741935,182470.870967742,-5.54838709677419,53.6583870967742,0
1970,2,66060.7142857143,32998.2857142857,1200.53571428571,2697.85714285714,612,9191.07142857143,13701.4642857143,112760.464285714,83.75,385.107142857143,1480.71428571429,0,1949.57142857143,880.357142857143,1395.71428571429,0,-515.357142857143,9614.67857142857,21701.6071428571,89588.6428571429,111326.25,0.0203571428571429,1.32142857142857,106863.75,-4.35714285714286,45.9917857142857,0
1970,3,44206.4516129032,3003.77419354839,1382.87096774194,869.451612903226,1528,7179.67741935484,10960,58170.2258064516,72.258064516129,436.161290322581,1756.67741935484,0,2265.09677419355,1309.67741935484,1390.32258064516,0,-80.6451612903226,7593.38709677419,16340.7741935484,39639.2903225806,55985.7741935484,0.0509677419354839,6.29032258064516,53327.3870967742,-2.58064516129032,52.5112903225806,0
1970,4,14620,122.7,430.633333333333,74.7333333333333,151,1672.66666666667,2329.03333333333,17071.7333333333,128.166666666667,880,3644.46666666667,0,4652.63333333333,1880,487.9,0,1392.1,6373.33333333333,3144.9,7979.6,11027,0.273333333333333,36.4666666666667,15399.0666666667,29.5,67.2936666666667,0
1970,5,14264.5161290323,47.4516129032258,330,45.2903225806452,98,2393.22580645161,2866.51612903226,17178.4838709677,166.193548387097,283.41935483871,3561.93548387097,0,4011.54838709677,2433.87096774194,28,0,2405.87096774194,6269.03225806452,3560.1935483871,7369.32258064516,10761.064516129,0.228387096774194,38.0967741935484,14785.2580645161,28.1935483870968,74.2587096774194,0
1970,6,11786.6666666667,33.4333333333333,106.4,76.5,84,2737,3003.9,14824,197.033333333333,570.166666666667,4230,0,4997.2,3746.66666666667,134.333333333333,0,3612.33333333333,5543.03333333333,1201.63333333333,5265.66666666667,6214.46666666667,0.327,58.4666666666667,12087,48.6,79.6176666666667,0
1970,7,13174.1935483871,16.258064516129,10.6129032258065,272.258064516129,32,1330.1935483871,1645.06451612903,14835.5161290323,211.548387096774,568.483870967742,4447.41935483871,0,5227.45161290323,4351.61290322581,0,0,4351.61290322581,5949.54838709677,-461.354838709677,6022.45161290323,5256.48387096774,0.338709677419355,64.7741935483871,13505.3225806452,61.0967741935484,83.2641935483871,0
1970,8,14977.4193548387,23,2.35483870967742,244.741935483871,49,1044.38709677419,1340.48387096774,16340.9032258065,214.483870967742,834.483870967742,3559.03225806452,0,4608,3785.48387096774,0,0,3785.48387096774,6477.93548387097,749.870967741935,7462.54838709677,7947.41935483871,0.270967741935484,51.8387096774194,15296.5161290323,48.5483870967742,81.9335483870968,0
1970,9,18513.3333333333,43.4,1.73333333333333,311.733333333333,118,1319.33333333333,1750.8,20307.5333333333,160.866666666667,647.1,2281.33333333333,0,3089.3,2631.66666666667,0,0,2631.66666666667,7514,4464.93333333333,10305.8666666667,14586.5666666667,0.146,28.4666666666667,18988.2,23.3333333333333,75.4963333333333,0
1970,10,15261.2903225806,24.7096774193548,5.64516129032258,417.548387096774,49,1466.12903225806,1938.32258064516,17224.3225806452,115.741935483871,422.838709677419,2045.8064516129,0,2584.38709677419,1864.51612903226,648,0,1216.51612903226,6561.03225806452,5124.1935483871,8384.32258064516,13423.4193548387,0.143548387096774,22.1935483870968,15783.3870967742,15.1290322580645,73.6448387096774,0
